test_id	test_source_row	test_label	train_id	train_source_row	train_label	token_jaccard	char5_jaccard	rapidfuzz_ratio	adjudication	subtype_assist
test:00004840	4840	regular	train:00047713	47713	regular	0.875	0.88	0.9805825242718448	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00004930	4930	regular	train:00054273	54273	regular	0.8571428571428571	0.8454545454545455	0.967741935483871	CONFIRMED_FAMILY	same_source_template_variant
test:00004961	4961	regular	train:00054273	54273	regular	0.8571428571428571	0.8532110091743119	0.972222222222222	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00004994	4994	regular	train:00051996	51996	regular	0.8181818181818182	0.7261904761904762	0.9290322580645162	CONFIRMED_FAMILY	same_source_template_variant
test:00004999	4999	regular	train:00049521	49521	regular	1.0	0.9636363636363636	0.9833333333333332	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00005081	5081	regular	train:00055914	55914	regular	0.8666666666666667	0.8712871287128713	0.9315068493150684	CONFIRMED_FAMILY	same_source_template_variant
test:00005108	5108	regular	train:00059136	59136	regular	1.0	0.95	0.9761904761904762	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00005140	5140	regular	train:00052337	52337	regular	0.9230769230769232	0.8924731182795699	0.9565217391304348	CONFIRMED_FAMILY	same_source_template_variant
test:00005150	5150	regular	train:00052121	52121	regular	0.8823529411764706	0.825	0.9519650655021834	CONFIRMED_FAMILY	same_source_template_variant
test:00005176	5176	regular	train:00052740	52740	regular	0.8421052631578947	0.7368421052631579	0.941747572815534	CONFIRMED_FAMILY	same_source_template_variant
test:00005247	5247	regular	train:00053259	53259	regular	0.9230769230769232	0.8823529411764706	0.9404761904761904	CONFIRMED_FAMILY	same_source_template_variant
test:00005267	5267	regular	train:00058447	58447	regular	1.0	0.9611650485436892	0.9814814814814816	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00005305	5305	regular	train:00054232	54232	regular	0.9285714285714286	0.951219512195122	0.9767441860465116	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00005360	5360	regular	train:00054439	54439	regular	0.9230769230769232	0.9101123595505618	0.9666666666666668	CONFIRMED_FAMILY	same_source_template_variant
test:00005532	5532	regular	train:00056452	56452	regular	0.8571428571428571	0.7101449275362319	0.9393939393939392	CONFIRMED_FAMILY	same_source_template_variant
test:00005590	5590	regular	train:00044920	44920	regular	0.8571428571428571	0.7835051546391752	0.9346733668341708	CONFIRMED_FAMILY	same_source_template_variant
test:00005600	5600	regular	train:00057124	57124	regular	0.9166666666666666	0.873015873015873	0.9701492537313432	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00005652	5652	regular	train:00057155	57155	regular	0.9166666666666666	0.9	0.925925925925926	CONFIRMED_FAMILY	same_source_template_variant
test:00005656	5656	regular	train:00058283	58283	regular	0.9285714285714286	0.8	0.8839779005524862	CONFIRMED_FAMILY	same_source_template_variant
test:00005713	5713	regular	train:00057435	57435	regular	1.0	0.8860759493670886	0.9808917197452228	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00005741	5741	regular	train:00058518	58518	regular	0.9375	0.9142857142857144	0.9473684210526316	CONFIRMED_FAMILY	same_source_template_variant
test:00005755	5755	regular	train:00056146	56146	regular	0.85	0.6906474820143885	0.9387755102040816	CONFIRMED_FAMILY	same_source_template_variant
test:00005780	5780	regular	train:00059135	59135	regular	0.8571428571428571	0.8018018018018018	0.8962264150943396	CONFIRMED_FAMILY	same_source_template_variant
test:00005781	5781	regular	train:00059623	59623	regular	0.8461538461538461	0.8317757009345794	0.961904761904762	CONFIRMED_FAMILY	same_source_template_variant
test:00005837	5837	regular	train:00050604	50604	regular	0.7333333333333333	0.7672413793103449	0.9497716894977168	CONFIRMED_FAMILY	same_source_template_variant
test:00005885	5885	regular	train:00059593	59593	regular	0.9090909090909092	0.8166666666666667	0.923076923076923	CONFIRMED_FAMILY	same_source_template_variant
test:00005945	5945	regular	train:00060137	60137	regular	0.9375	0.912087912087912	0.9347826086956522	CONFIRMED_FAMILY	same_source_template_variant
test:00005986	5986	regular	train:00060505	60505	regular	0.8571428571428571	0.8636363636363636	0.9680365296803654	CONFIRMED_FAMILY	same_source_template_variant
test:00006135	6135	sarcasm	train:00061579	61579	sarcasm	0.9	0.819047619047619	0.9346733668341708	CONFIRMED_FAMILY	same_source_template_variant
test:00006212	6212	sarcasm	train:00062319	62319	sarcasm	0.9285714285714286	0.8173076923076923	0.9441624365482232	CONFIRMED_FAMILY	same_source_template_variant
test:00006264	6264	sarcasm	train:00067751	67751	sarcasm	1.0	0.8857142857142857	0.9863013698630136	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00006302	6302	sarcasm	train:00063613	63613	sarcasm	1.0	0.8518518518518519	0.9382716049382716	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00007140	7140	sarcasm	train:00072601	72601	sarcasm	1.0	0.9545454545454546	0.9803921568627452	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00007421	7421	sarcasm	train:00070480	70480	sarcasm	0.8571428571428571	0.8333333333333334	0.913907284768212	CONFIRMED_FAMILY	same_source_template_variant
test:00007879	7879	sarcasm	train:00079402	79402	sarcasm	1.0	0.9285714285714286	0.95	CONFIRMED_FAMILY	same_message_or_decorative_variant
test:00008118	8118	sarcasm	train:00081173	81173	sarcasm	0.9285714285714286	0.8478260869565217	0.9222222222222224	CONFIRMED_FAMILY	same_source_template_variant
